x1,x2,class
1.9582004409197906,1.701913625179974,0
2.190759263209788,1.3792144939676136,0
2.3796205561337924,2.176733592727449,0
1.5262669882118247,2.1388911722976824,0
1.6972009597550592,1.9540476495730426,0
1.5950134931915416,1.3713561037813022,0
1.7694213327017396,1.253217967548414,0
2.6364624032452326,1.6293359766173703,0
2.062207416172716,1.1834255554802664,0
2.4444489843558994,1.2430758202830334,0
2.058129286220047,0.9922061070277473,0
2.574764374372116,0.6201609736612053,0
1.7238036154658873,2.0348832718796532,0
1.492841797492119,0.4106253505169436,0
1.6301552092783314,1.4545703773129657,0
1.2945510876541215,2.0662306916125748,0
1.5487616753008642,0.9875433712947665,0
1.6242289373894827,0.9464246037530688,0
1.9110513841969943,0.7364718736378048,0
2.418587984639216,1.1959463352666275,0
0.44059965965905534,1.2152738637353848,0
1.8316866769556395,1.5981118451800973,0
1.1399344762281247,1.4454611178157224,0
1.60031524612695,1.1915317923316255,0
1.7561892424725145,2.0959232750750036,0
1.8195819065106698,0.36552599557351906,0
1.1220444837601078,1.6513772060202634,0
1.6909182053675123,1.5247082917193338,0
1.3848457020528004,1.1501490758478918,0
2.1323505513647247,1.665058213818941,0
2.962854456327846,1.5678068840757693,0
1.9407361163929306,1.689731618104249,0
1.7634307948229697,2.2809140301424122,0
2.3922192160203366,0.8134591871273702,0
1.5700931349972111,0.9666271277181266,0
1.4468390450048751,1.2973531474008253,0
0.8716356122441107,0.80285687053013,0
1.59479954789865,0.7258283433171477,0
2.0816059363097663,1.9067472570307649,0
1.5592348921451347,0.8596793345976561,0
1.3433919145618785,2.067791951567406,0
2.0605042036052645,0.8926706843022612,0
2.2477819961247447,1.3021754341767704,0
1.9059929439325214,1.0576014565499272,0
2.0854955722720905,1.2525652394852202,0
1.6100986231854815,1.0378266899234412,0
1.266215013186336,1.135457049027749,0
2.2270766552624037,1.1567051743751493,0
2.0085387263831644,1.2610547957539207,0
1.9255851191334104,1.0040922295575625,0
1.513612638101908,0.7828466621035692,0
1.3526892746568195,1.2027895803264173,0
1.3083521789297041,1.8699497810025907,0
2.081814476186649,1.7213606697067851,0
1.6295655969243266,1.0983592130068671,0
1.755156347322108,1.1459084755280458,0
1.4877181369753707,1.4479074717635019,0
1.315755391087293,1.1298015068269052,0
0.8103814713561612,1.7754984349679248,0
1.5816974475145693,1.3872563389490824,0
1.2937928815926423,1.8950634542344655,0
2.6286586006676123,0.6716806683712377,0
2.156302734981017,1.6204464142972352,0
1.8853658786254568,1.1690948646253894,0
1.041345622074349,0.8172297660609498,0
2.3521515661457104,1.0824161845699858,0
2.2800947332652255,1.2977544100576965,0
2.2040475285859693,1.0081282992410743,0
1.9807043597408744,2.1085148226534223,0
2.0545059664982133,0.5432556019741644,0
1.3832183071539401,0.3802086791944883,0
1.3231143307348758,2.1212250718278245,0
1.585498086180144,1.7889652554521709,0
1.5104246834019137,1.4265435000599058,0
