agreement_rk,id_client,target
59910150.0,106804370.0,0.0
59910230.0,106804371.0,0.0
59910525.0,106804372.0,0.0
59910803.0,106804373.0,0.0
59911781.0,106804374.0,0.0
59911784.0,106804375.0,0.0
59911832.0,106804376.0,0.0
59912034.0,106804377.0,0.0
59912560.0,106804378.0,0.0
59912659.0,106804379.0,0.0
59912692.0,106804380.0,0.0
59913108.0,106804381.0,1.0
59913134.0,106804382.0,1.0
59913205.0,106804383.0,0.0
59913395.0,106804384.0,0.0
59913542.0,106804385.0,1.0
59913603.0,106804386.0,0.0
59913652.0,106804387.0,0.0
59913736.0,106804388.0,1.0
59913985.0,106804389.0,0.0
59914132.0,106804390.0,0.0
59914133.0,106804391.0,0.0
59914282.0,106804392.0,0.0
59914348.0,106804393.0,0.0
59914507.0,106804394.0,0.0
59914532.0,106804395.0,0.0
59914562.0,106804396.0,0.0
59914760.0,106804397.0,1.0
59914815.0,106804398.0,0.0
59914912.0,106804399.0,0.0
59914934.0,106804400.0,0.0
59914938.0,106804401.0,0.0
59915134.0,106804402.0,0.0
59915164.0,106804403.0,0.0
59915192.0,106804404.0,0.0
59915193.0,106804405.0,0.0
59915275.0,106804406.0,0.0
59915302.0,106804407.0,0.0
59915312.0,106804408.0,0.0
59915340.0,106804409.0,0.0
59915354.0,106804410.0,0.0
59915402.0,106804411.0,0.0
59915484.0,106804412.0,0.0
59915500.0,106804413.0,0.0
59915564.0,106804414.0,0.0
59915634.0,106804415.0,0.0
59915800.0,106804416.0,0.0
59915970.0,106804417.0,0.0
59916060.0,106804418.0,0.0
59916079.0,106804419.0,0.0
59916196.0,106804420.0,0.0
59916537.0,106804421.0,0.0
59916782.0,106804422.0,0.0
59917047.0,106804423.0,0.0
59917064.0,106804424.0,0.0
59917071.0,106804425.0,0.0
59917104.0,106804426.0,0.0
59917205.0,106804427.0,0.0
59917790.0,106804428.0,0.0
59917807.0,106804429.0,0.0
59917814.0,106804430.0,1.0
59917902.0,106804431.0,0.0
59918129.0,106804432.0,0.0
59918141.0,106804433.0,0.0
59918142.0,106804434.0,0.0
59918152.0,106804435.0,1.0
59918243.0,106804436.0,0.0
59918315.0,106804437.0,0.0
59918616.0,106804438.0,0.0
59918705.0,106804439.0,0.0
59918758.0,106804440.0,0.0
