id_loan,id_client
1753790658.0,106804370.0
1753790659.0,106804371.0
1753790660.0,106804372.0
1753790661.0,106804372.0
1753790662.0,106804373.0
1753790663.0,106804374.0
1753790664.0,106804374.0
1753790665.0,106804375.0
1753790666.0,106804375.0
1753790667.0,106804376.0
1753790668.0,106804376.0
1753790669.0,106804377.0
1753790670.0,106804377.0
1753790671.0,106804378.0
1753790672.0,106804379.0
1753790673.0,106804380.0
1753790674.0,106804381.0
1753790675.0,106804381.0
1753790676.0,106804382.0
1753790677.0,106804383.0
1753790678.0,106804384.0
1753790679.0,106804384.0
1753790680.0,106804385.0
1753790681.0,106804386.0
1753790682.0,106804387.0
1753790683.0,106804388.0
1753790684.0,106804389.0
1753790685.0,106804390.0
1753790686.0,106804391.0
1753790687.0,106804392.0
1753790688.0,106804393.0
1753790689.0,106804394.0
1753790690.0,106804395.0
1753790691.0,106804396.0
1753790692.0,106804397.0
1753790693.0,106804398.0
1753790694.0,106804399.0
1753790695.0,106804400.0
1753790696.0,106804401.0
1753790697.0,106804402.0
1753790698.0,106804403.0
1753790699.0,106804404.0
1753790700.0,106804405.0
1753790701.0,106804406.0
1753790702.0,106804406.0
1753790703.0,106804407.0
1753790704.0,106804408.0
1753790705.0,106804409.0
1753790706.0,106804410.0
1753790707.0,106804411.0
1753790708.0,106804411.0
1753790709.0,106804412.0
1753790710.0,106804413.0
1753790711.0,106804414.0
1753790712.0,106804414.0
1753790713.0,106804415.0
1753790714.0,106804416.0
1753790715.0,106804417.0
1753790716.0,106804418.0
1753790717.0,106804418.0
1753790718.0,106804419.0
1753790719.0,106804420.0
1753790720.0,106804421.0
1753790721.0,106804422.0
1753790722.0,106804423.0
1753790723.0,106804423.0
1753790724.0,106804424.0
1753790725.0,106804424.0
1753790726.0,106804425.0
1753790727.0,106804426.0
1753790728.0,106804427.0
1753790729.0,106804428.0
1753790730.0,106804428.0
1753790731.0,106804429.0
1753790732.0,106804430.0
1753790733.0,106804431.0
1753790734.0,106804432.0
1753790735.0,106804433.0
1753790736.0,106804434.0
1753790737.0,106804435.0
1753790738.0,106804436.0
1753790739.0,106804437.0
1753790740.0,106804438.0
1753790741.0,106804439.0
1753790742.0,106804440.0
1753790743.0,106804441.0
1753790744.0,106804442.0
1753790745.0,106804443.0
1753790746.0,106804444.0
1753790747.0,106804444.0
1753790748.0,106804445.0
1753790749.0,106804446.0
1753790750.0,106804446.0
1753790751.0,106804447.0
1753790752.0,106804448.0
1753790753.0,106804449.0
1753790754.0,106804450.0
1753790755.0,106804451.0
1753790756.0,106804452.0
1753790757.0,106804452.0
1753790758.0,106804453.0
1753790759.0,106804454.0
1753790760.0,106804455.0
1753790761.0,106804456.0
1753790762.0,106804457.0
1753790763.0,106804458.0
1753790764.0,106804459.0
1753790765.0,106804460.0
1753790766.0,106804461.0
1753790767.0,106804461.0
1753790768.0,106804462.0
1753790769.0,106804463.0
1753790770.0,106804464.0
1753790771.0,106804465.0
1753790772.0,106804466.0
1753790773.0,106804467.0
1753790774.0,106804468.0
1753790775.0,106804469.0
1753790776.0,106804470.0
1753790777.0,106804471.0
1753790778.0,106804472.0
1753790779.0,106804473.0
1753790780.0,106804474.0
1753790781.0,106804475.0
1753790782.0,106804475.0
1753790783.0,106804476.0
1753790784.0,106804477.0
1753790785.0,106804478.0
1753790786.0,106804479.0
1753790787.0,106804480.0
1753790788.0,106804481.0
1753790789.0,106804482.0
1753790790.0,106804483.0
1753790791.0,106804484.0
1753790792.0,106804484.0
1753790793.0,106804485.0
1753790794.0,106804486.0
1753790795.0,106804487.0
1753790796.0,106804488.0
1753790797.0,106804489.0
1753790798.0,106804490.0
1753790799.0,106804491.0
1753790800.0,106804492.0
1753790801.0,106804493.0
1753790802.0,106804494.0
1753790803.0,106804495.0
1753790804.0,106804495.0
1753790805.0,106804496.0
1753790806.0,106804497.0
1753790807.0,106804497.0
1753790808.0,106804497.0
1753790809.0,106804498.0
1753790810.0,106804499.0
1753790811.0,106804500.0
1753790812.0,106804501.0
1753790813.0,106804502.0
1753790814.0,106804503.0
1753790815.0,106804504.0
1753790816.0,106804505.0
1753790817.0,106804505.0
1753790818.0,106804506.0
1753790819.0,106804507.0
1753790820.0,106804508.0
1753790821.0,106804509.0
1753790822.0,106804510.0
1753790823.0,106804511.0
1753790824.0,106804512.0
1753790825.0,106804513.0
1753790826.0,106804514.0
1753790827.0,106804515.0
1753790828.0,106804516.0
1753790829.0,106804517.0
1753790830.0,106804518.0
1753790831.0,106804519.0
1753790832.0,106804519.0
1753790833.0,106804520.0
1753790834.0,106804521.0
1753790835.0,106804522.0
1753790836.0,106804523.0
1753790837.0,106804524.0
1753790838.0,106804525.0
1753790839.0,106804526.0
1753790840.0,106804527.0
1753790841.0,106804527.0
1753790842.0,106804528.0
1753790843.0,106804529.0
1753790844.0,106804529.0
1753790845.0,106804530.0
1753790846.0,106804531.0
1753790847.0,106804532.0
1753790848.0,106804532.0
1753790849.0,106804533.0
1753790850.0,106804533.0
1753790851.0,106804533.0
1753790852.0,106804534.0
1753790853.0,106804535.0
1753790854.0,106804535.0
1753790855.0,106804536.0
1753790856.0,106804536.0
1753790857.0,106804537.0
1753790858.0,106804537.0
1753790859.0,106804538.0
1753790860.0,106804539.0
1753790861.0,106804540.0
1753790862.0,106804541.0
1753790863.0,106804542.0
1753790864.0,106804543.0
1753790865.0,106804544.0
1753790866.0,106804545.0
1753790867.0,106804546.0
1753790868.0,106804547.0
1753790869.0,106804547.0
1753790870.0,106804548.0
1753790871.0,106804549.0
1753790872.0,106804550.0
1753790873.0,106804551.0
1753790874.0,106804552.0
1753790875.0,106804553.0
1753790876.0,106804554.0
1753790877.0,106804555.0
1753790878.0,106804556.0
1753790879.0,106804556.0
1753790880.0,106804557.0
1753790881.0,106804558.0
1753790882.0,106804559.0
1753790883.0,106804560.0
1753790884.0,106804561.0
1753790885.0,106804562.0
1753790886.0,106804563.0
1753790887.0,106804564.0
1753790888.0,106804565.0
1753790889.0,106804566.0
1753790890.0,106804567.0
1753790891.0,106804568.0
1753790892.0,106804569.0
1753790893.0,106804569.0
1753790894.0,106804570.0
1753790895.0,106804570.0
1753790896.0,106804571.0
1753790897.0,106804572.0
1753790898.0,106804573.0
1753790899.0,106804574.0
1753790900.0,106804574.0
1753790901.0,106804575.0
1753790902.0,106804576.0
1753790903.0,106804577.0
1753790904.0,106804578.0
1753790905.0,106804579.0
1753790906.0,106804579.0
1753790907.0,106804580.0
1753790908.0,106804581.0
1753790909.0,106804582.0
1753790910.0,106804583.0
1753790911.0,106804584.0
1753790912.0,106804585.0
1753790913.0,106804586.0
1753790914.0,106804587.0
1753790915.0,106804588.0
1753790916.0,106804589.0
1753790917.0,106804589.0
1753790918.0,106804590.0
1753790919.0,106804591.0
1753790920.0,106804592.0
1753790921.0,106804592.0
1753790922.0,106804593.0
1753790923.0,106804594.0
