id_loan,closed_fl
1753790658.0,1.0
1753790659.0,1.0
1753790660.0,1.0
1753790661.0,0.0
1753790662.0,1.0
1753790663.0,1.0
1753790664.0,0.0
1753790665.0,1.0
1753790666.0,0.0
1753790667.0,1.0
1753790668.0,1.0
1753790669.0,1.0
1753790670.0,0.0
1753790671.0,1.0
1753790672.0,1.0
1753790673.0,1.0
1753790674.0,0.0
1753790675.0,1.0
1753790676.0,1.0
1753790677.0,1.0
1753790678.0,0.0
1753790679.0,1.0
1753790680.0,1.0
1753790681.0,1.0
1753790682.0,1.0
1753790683.0,1.0
1753790684.0,1.0
1753790685.0,1.0
1753790686.0,1.0
1753790687.0,1.0
1753790688.0,1.0
1753790689.0,1.0
1753790690.0,1.0
1753790691.0,1.0
1753790692.0,1.0
1753790693.0,1.0
1753790694.0,1.0
1753790695.0,1.0
1753790696.0,1.0
1753790697.0,1.0
1753790698.0,1.0
1753790699.0,1.0
1753790700.0,1.0
1753790701.0,1.0
1753790702.0,1.0
1753790703.0,1.0
1753790704.0,1.0
1753790705.0,1.0
1753790706.0,1.0
1753790707.0,1.0
1753790708.0,1.0
1753790709.0,1.0
1753790710.0,1.0
1753790711.0,0.0
1753790712.0,1.0
1753790713.0,1.0
1753790714.0,1.0
1753790715.0,1.0
1753790716.0,1.0
1753790717.0,0.0
1753790718.0,1.0
1753790719.0,1.0
1753790720.0,1.0
1753790721.0,1.0
1753790722.0,1.0
1753790723.0,1.0
1753790724.0,1.0
1753790725.0,1.0
1753790726.0,1.0
1753790727.0,1.0
1753790728.0,1.0
1753790729.0,1.0
1753790730.0,0.0
1753790731.0,1.0
1753790732.0,1.0
1753790733.0,1.0
1753790734.0,1.0
1753790735.0,1.0
1753790736.0,1.0
1753790737.0,1.0
1753790738.0,1.0
1753790739.0,1.0
1753790740.0,1.0
1753790741.0,1.0
1753790742.0,1.0
1753790743.0,1.0
1753790744.0,1.0
1753790745.0,1.0
1753790746.0,1.0
1753790747.0,1.0
1753790748.0,1.0
1753790749.0,1.0
1753790750.0,1.0
1753790751.0,1.0
1753790752.0,1.0
1753790753.0,1.0
1753790754.0,1.0
1753790755.0,1.0
1753790756.0,1.0
1753790757.0,1.0
1753790758.0,1.0
1753790759.0,1.0
1753790760.0,1.0
1753790761.0,1.0
1753790762.0,1.0
1753790763.0,1.0
1753790764.0,1.0
1753790765.0,1.0
1753790766.0,0.0
1753790767.0,1.0
1753790768.0,1.0
1753790769.0,1.0
1753790770.0,1.0
1753790771.0,1.0
1753790772.0,1.0
1753790773.0,1.0
1753790774.0,1.0
1753790775.0,1.0
1753790776.0,1.0
1753790777.0,1.0
1753790778.0,1.0
1753790779.0,1.0
1753790780.0,1.0
1753790781.0,1.0
1753790782.0,0.0
1753790783.0,1.0
